"No.","Time","Source","Destination","Protocol","Length","DateTime"
"12361","1540514469.017651","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 00:41:09.017651"
"12365","1540514499.047015","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 00:41:39.047015"
"12375","1540514529.005672","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 00:42:09.005672"
"12376","1540514530.587778","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-26 00:42:10.587778"
"12379","1540514560.596895","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 00:42:40.596895"
"12389","1540514590.646750","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 00:43:10.646750"
"12393","1540514620.726841","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 00:43:40.726841"
"12401","1540514622.891854","192.168.1.1","192.168.1.132","DNS","99","2018-10-26 00:43:42.891854"
"12429","1540514648.099223","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-26 00:44:08.099223"
"12430","1540514648.099228","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 00:44:08.099228"
"12440","1540514678.166825","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 00:44:38.166825"
"12444","1540514708.247658","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 00:45:08.247658"
"12454","1540514738.326746","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 00:45:38.326746"
"12458","1540514768.239931","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-26 00:46:08.239931"
"12469","1540514798.326765","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 00:46:38.326765"
"12479","1540514828.406856","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 00:47:08.406856"
"12483","1540514839.363108","192.168.1.1","192.168.1.132","DNS","353","2018-10-26 00:47:19.363108"
"12485","1540514839.369099","2.16.60.82","192.168.1.132","TCP","66","2018-10-26 00:47:19.369099"
"12490","1540514839.375096","2.16.60.82","192.168.1.132","TCP","60","2018-10-26 00:47:19.375096"
"12495","1540514858.486944","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 00:47:38.486944"
"12503","1540514888.375643","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-26 00:48:08.375643"
"12508","1540514918.497210","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 00:48:38.497210"
"12516","1540514948.566555","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 00:49:08.566555"
"12520","1540514978.646647","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 00:49:38.646647"
"12530","1540515008.511362","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-26 00:50:08.511362"
"12539","1540515038.566716","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 00:50:38.566716"
"12543","1540515068.646558","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 00:51:08.646558"
"12553","1540515098.726651","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 00:51:38.726651"
"12557","1540515128.649581","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-26 00:52:08.649581"
"12566","1540515158.726925","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 00:52:38.726925"
"12570","1540515188.806517","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 00:53:08.806517"
"12580","1540515218.886614","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 00:53:38.886614"
"12590","1540515248.786305","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-26 00:54:08.786305"
"12595","1540515278.806681","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 00:54:38.806681"
"12605","1540515308.886513","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 00:55:08.886513"
"12609","1540515338.966494","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 00:55:38.966494"
"12619","1540515368.940042","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-26 00:56:08.940042"
"12624","1540515398.966314","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 00:56:38.966314"
"12634","1540515429.046060","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 00:57:09.046060"
"12644","1540515459.126062","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 00:57:39.126062"
"12648","1540515488.075717","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-26 00:58:08.075717"
"12659","1540515518.165727","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 00:58:38.165727"
"12663","1540515548.245736","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 00:59:08.245736"
"12673","1540515578.325754","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 00:59:38.325754"
"12677","1540515608.211139","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-26 01:00:08.211139"
"12688","1540515638.325645","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 01:00:38.325645"
"12698","1540515668.405423","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 01:01:08.405423"
"12702","1540515698.485204","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 01:01:38.485204"
"12712","1540515724.843371","192.168.1.1","192.168.1.132","DNS","221","2018-10-26 01:02:04.843371"
"12714","1540515724.847866","192.168.1.1","192.168.1.132","DNS","484","2018-10-26 01:02:04.847866"
"12729","1540515724.943559","192.168.1.1","192.168.1.132","DNS","142","2018-10-26 01:02:04.943559"
"12731","1540515724.944560","192.168.1.1","192.168.1.132","DNS","174","2018-10-26 01:02:04.944560"
"12746","1540515728.347863","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-26 01:02:08.347863"
"12751","1540515739.483760","192.168.1.1","192.168.1.132","DNS","353","2018-10-26 01:02:19.483760"
"12753","1540515739.489984","2.16.60.82","192.168.1.132","TCP","66","2018-10-26 01:02:19.489984"
"12756","1540515739.495730","2.16.60.82","192.168.1.132","TCP","60","2018-10-26 01:02:19.495730"
"12759","1540515758.405160","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 01:02:38.405160"
"12767","1540515788.485448","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 01:03:08.485448"
"12777","1540515818.564989","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 01:03:38.564989"
"12781","1540515848.486873","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-26 01:04:08.486873"
"12792","1540515878.564920","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 01:04:38.564920"
"12796","1540515908.644968","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 01:05:08.644968"
"12806","1540515938.725017","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 01:05:38.725017"
"12810","1540515968.624671","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-26 01:06:08.624671"
"12821","1540515998.644758","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 01:06:38.644758"
"12831","1540516028.724815","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 01:07:08.724815"
"12835","1540516058.804622","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 01:07:38.804622"
"12845","1540516088.762249","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-26 01:08:08.762249"
"12850","1540516118.804591","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 01:08:38.804591"
"12860","1540516148.884640","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 01:09:08.884640"
"12870","1540516178.964470","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 01:09:38.964470"
"12874","1540516208.914587","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-26 01:10:08.914587"
"12885","1540516238.964416","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 01:10:38.964416"
"12889","1540516269.044480","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 01:11:09.044480"
"12899","1540516299.124295","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 01:11:39.124295"
"12903","1540516328.051269","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-26 01:12:08.051269"
"12914","1540516358.164322","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 01:12:38.164322"
"12924","1540516388.244134","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 01:13:08.244134"
"12928","1540516418.324203","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 01:13:38.324203"
"12938","1540516448.188894","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-26 01:14:08.188894"
"12943","1540516478.244228","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 01:14:38.244228"
"12953","1540516508.324050","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 01:15:08.324050"
"12957","1540516538.404123","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 01:15:38.404123"
"12967","1540516568.325034","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-26 01:16:08.325034"
"12978","1540516598.404122","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 01:16:38.404122"
"12982","1540516628.484180","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 01:17:08.484180"
"12986","1540516639.636084","192.168.1.1","192.168.1.132","DNS","339","2018-10-26 01:17:19.636084"
"12988","1540516639.642307","2.16.60.139","192.168.1.132","TCP","66","2018-10-26 01:17:19.642307"
"12991","1540516639.648303","2.16.60.139","192.168.1.132","TCP","60","2018-10-26 01:17:19.648303"
"13000","1540516658.563770","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 01:17:38.563770"
"13002","1540516688.459432","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-26 01:18:08.459432"
"13013","1540516718.484285","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 01:18:38.484285"
"13015","1540516748.563859","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 01:19:08.563859"
"13025","1540516778.643684","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 01:19:38.643684"
"13035","1540516808.597331","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-26 01:20:08.597331"
"13038","1540516838.643675","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 01:20:38.643675"
"13047","1540516854.215284","216.239.35.8","192.168.1.132","NTP","90","2018-10-26 01:20:54.215284"
"13052","1540516868.723751","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 01:21:08.723751"
"13054","1540516894.365362","216.239.35.0","192.168.1.132","NTP","90","2018-10-26 01:21:34.365362"
"13056","1540516898.803576","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 01:21:38.803576"
"13066","1540516928.731239","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-26 01:22:08.731239"
"13069","1540516958.803569","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 01:22:38.803569"
"13079","1540516988.883397","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 01:23:08.883397"
"13089","1540517018.963724","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 01:23:38.963724"
"13093","1540517048.883393","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-26 01:24:08.883393"
"13104","1540517078.963469","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 01:24:38.963469"
"13108","1540517109.043315","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 01:25:09.043315"
"13118","1540517139.123624","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 01:25:39.123624"
"13122","1540517160.579395","216.239.35.4","192.168.1.132","NTP","90","2018-10-26 01:26:00.579395"
"13132","1540517168.018138","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-26 01:26:08.018138"
"13135","1540517198.083463","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 01:26:38.083463"
"13145","1540517228.163298","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 01:27:08.163298"
"13149","1540517258.243618","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 01:27:38.243618"
"13159","1540517288.155043","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-26 01:28:08.155043"
"13164","1540517318.243365","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 01:28:38.243365"
"13174","1540517348.323193","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 01:29:08.323193"
"13184","1540517378.403475","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 01:29:38.403475"
"13188","1540517408.291169","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-26 01:30:08.291169"
"13199","1540517438.323770","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 01:30:38.323770"
"13203","1540517468.404084","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 01:31:08.404084"
"13213","1540517498.484385","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 01:31:38.484385"
"13217","1540517528.426507","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-26 01:32:08.426507"
"13228","1540517539.691664","192.168.1.1","192.168.1.132","DNS","353","2018-10-26 01:32:19.691664"
"13230","1540517539.697899","2.16.60.139","192.168.1.132","TCP","66","2018-10-26 01:32:19.697899"
"13233","1540517539.703645","2.16.60.139","192.168.1.132","TCP","60","2018-10-26 01:32:19.703645"
"13236","1540517558.484552","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 01:32:38.484552"
"13244","1540517588.564826","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 01:33:08.564826"
"13248","1540517618.644838","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 01:33:38.644838"
"13258","1540517648.562937","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-26 01:34:08.562937"
"13261","1540517678.645184","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 01:34:38.645184"
"13271","1540517691.952663","216.239.35.12","192.168.1.132","NTP","90","2018-10-26 01:34:51.952663"
"13275","1540517708.725424","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 01:35:08.725424"
"13285","1540517738.805411","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 01:35:38.805411"
"13289","1540517768.698744","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-26 01:36:08.698744"
"13300","1540517798.805701","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 01:36:38.805701"
"13304","1540517828.885919","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 01:37:08.885919"
"13314","1540517858.966133","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 01:37:38.966133"
"13318","1540517888.854195","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-26 01:38:08.854195"
"13329","1540517918.966131","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 01:38:38.966131"
"13339","1540517949.046328","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 01:39:09.046328"
"13343","1540517979.126521","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 01:39:39.126521"
"13353","1540518008.989084","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-26 01:40:08.989084"
"13358","1540518039.046531","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 01:40:39.046531"
"13368","1540518069.126713","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 01:41:09.126713"
"13373","1540518099.206641","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 01:41:39.206641"
"13382","1540518128.123229","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-26 01:42:08.123229"
"13393","1540518158.166925","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 01:42:38.166925"
"13397","1540518188.246840","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 01:43:08.246840"
"13407","1540518218.327005","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 01:43:38.327005"
"13411","1540518248.259253","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-26 01:44:08.259253"
"13422","1540518278.327421","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 01:44:38.327421"
"13432","1540518308.407082","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 01:45:08.407082"
"13436","1540518338.487239","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 01:45:38.487239"
"13446","1540518368.395243","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-26 01:46:08.395243"
"13451","1540518398.487389","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 01:46:38.487389"
"13461","1540518428.567293","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 01:47:08.567293"
"13465","1540518439.810404","192.168.1.1","192.168.1.132","DNS","339","2018-10-26 01:47:19.810404"
"13467","1540518439.817396","2.21.172.138","192.168.1.132","TCP","66","2018-10-26 01:47:19.817396"
"13470","1540518439.823892","2.21.172.138","192.168.1.132","TCP","60","2018-10-26 01:47:19.823892"
"13475","1540518458.647443","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 01:47:38.647443"
"13483","1540518488.571199","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 01:48:08.571199"
"13484","1540518490.563569","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-26 01:48:10.563569"
"13495","1540518520.577483","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 01:48:40.577483"
"13497","1540518550.647651","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 01:49:10.647651"
"13507","1540518580.728029","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 01:49:40.728029"
"13511","1540518608.668895","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 01:50:08.668895"
"13512","1540518608.668901","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-26 01:50:08.668901"
"13523","1540518638.727542","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 01:50:38.727542"
"13527","1540518668.807932","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 01:51:08.807932"
"13537","1540518698.887572","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 01:51:38.887572"
"13547","1540518728.823043","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-26 01:52:08.823043"
"13552","1540518758.887939","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 01:52:38.887939"
"13562","1540518788.967829","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 01:53:08.967829"
"13566","1540518819.047713","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 01:53:39.047713"
"13576","1540518848.959695","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-26 01:54:08.959695"
"13581","1540518879.047826","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 01:54:39.047826"
"13589","1540518909.127959","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 01:55:09.127959"
"13599","1540518939.207846","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 01:55:39.207846"
"13603","1540518968.095158","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-26 01:56:08.095158"
"13612","1540518998.168050","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 01:56:38.168050"
"13616","1540519028.247944","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 01:57:08.247944"
"13626","1540519058.328057","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 01:57:38.328057"
"13636","1540519088.231041","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-26 01:58:08.231041"
"13639","1540519118.328159","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 01:58:38.328159"
"13649","1540519148.408040","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 01:59:08.408040"
"13653","1540519178.488168","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 01:59:38.488168"
"13663","1540519208.366911","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-26 02:00:08.366911"
"13666","1540519238.488266","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 02:00:38.488266"
"13676","1540519268.568396","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 02:01:08.568396"
"13686","1540519298.648023","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 02:01:38.648023"
"13690","1540519324.907328","192.168.1.1","192.168.1.132","DNS","221","2018-10-26 02:02:04.907328"
"13692","1540519324.912324","192.168.1.1","192.168.1.132","DNS","484","2018-10-26 02:02:04.912324"
"13707","1540519325.007518","192.168.1.1","192.168.1.132","DNS","142","2018-10-26 02:02:05.007518"
"13709","1540519325.008519","192.168.1.1","192.168.1.132","DNS","174","2018-10-26 02:02:05.008519"
"13724","1540519328.504029","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-26 02:02:08.504029"
"13727","1540519339.877556","192.168.1.1","192.168.1.132","DNS","339","2018-10-26 02:02:19.877556"
"13729","1540519339.883800","2.16.60.82","192.168.1.132","TCP","66","2018-10-26 02:02:19.883800"
"13732","1540519339.889797","2.16.60.82","192.168.1.132","TCP","60","2018-10-26 02:02:19.889797"
"13743","1540519358.568166","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 02:02:38.568166"
"13745","1540519388.648542","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 02:03:08.648542"
"13755","1540519418.728379","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 02:03:38.728379"
"13765","1540519448.641516","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-26 02:04:08.641516"
"13770","1540519478.728062","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 02:04:38.728062"
"13780","1540519508.808612","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 02:05:08.808612"
"13784","1540519538.888165","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 02:05:38.888165"
"13794","1540519568.778331","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-26 02:06:08.778331"
"13799","1540519598.807920","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 02:06:38.807920"
"13809","1540519628.887983","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 02:07:08.887983"
"13819","1540519658.968049","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 02:07:38.968049"
"13823","1540519688.930935","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-26 02:08:08.930935"
"13834","1540519718.968031","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 02:08:38.968031"
"13838","1540519749.048105","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 02:09:09.048105"
"13848","1540519779.128180","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 02:09:39.128180"
"13852","1540519808.064661","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-26 02:10:08.064661"
"13863","1540519838.167985","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 02:10:38.167985"
"13873","1540519868.247811","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 02:11:08.247811"
"13877","1540519898.327896","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 02:11:38.327896"
"13887","1540519928.200350","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-26 02:12:08.200350"
"13892","1540519958.327661","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 02:12:38.327661"
"13902","1540519988.407751","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 02:13:08.407751"
"13906","1540520018.487839","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 02:13:38.487839"
"13916","1540520048.334563","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-26 02:14:08.334563"
"13927","1540520078.407659","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 02:14:38.407659"
"13931","1540520108.487751","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 02:15:08.487751"
"13941","1540520138.568096","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 02:15:38.568096"
"13945","1540520168.473291","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-26 02:16:08.473291"
"13956","1540520198.567630","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 02:16:38.567630"
"13960","1540520228.647725","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 02:17:08.647725"
"13970","1540520240.010750","192.168.1.1","192.168.1.132","DNS","339","2018-10-26 02:17:20.010750"
"13972","1540520240.016993","2.16.60.82","192.168.1.132","TCP","66","2018-10-26 02:17:20.016993"
"13975","1540520240.022990","2.16.60.82","192.168.1.132","TCP","60","2018-10-26 02:17:20.022990"
"13980","1540520258.727575","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 02:17:38.727575"
"13988","1540520288.609787","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-26 02:18:08.609787"
"13993","1540520318.647661","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 02:18:38.647661"
"14001","1540520348.728013","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 02:19:08.728013"
"14005","1540520378.807864","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 02:19:38.807864"
"14015","1540520408.748048","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-26 02:20:08.748048"
"14026","1540520438.807680","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 02:20:38.807680"
"14030","1540520468.887765","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 02:21:08.887765"
"14040","1540520498.967634","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 02:21:38.967634"
"14044","1540520528.904564","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-26 02:22:08.904564"
"14055","1540520558.967668","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 02:22:38.967668"
"14059","1540520589.047772","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 02:23:09.047772"
"14069","1540520619.127878","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 02:23:39.127878"
"14079","1540520648.039399","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-26 02:24:08.039399"
"14084","1540520678.087774","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 02:24:38.087774"
"14094","1540520708.167636","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 02:25:08.167636"
"14098","1540520738.247487","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 02:25:38.247487"
"14108","1540520768.177935","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-26 02:26:08.177935"
"14113","1540520798.247544","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 02:26:38.247544"
"14123","1540520828.327653","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 02:27:08.327653"
"14133","1540520858.407762","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 02:27:38.407762"
"14137","1540520888.313970","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-26 02:28:08.313970"
"14148","1540520918.407838","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 02:28:38.407838"
"14152","1540520948.487682","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 02:29:08.487682"
"14162","1540520978.567790","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 02:29:38.567790"
"14172","1540521008.450262","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-26 02:30:08.450262"
"14177","1540521038.487893","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 02:30:38.487893"
"14181","1540521060.073094","216.239.35.8","192.168.1.132","NTP","90","2018-10-26 02:31:00.073094"
"14191","1540521068.568002","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 02:31:08.568002"
"14195","1540521098.647861","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 02:31:38.647861"
"14205","1540521128.586051","104.155.18.91","192.168.1.132","TLSv1.2","89","2018-10-26 02:32:08.586051"
"14210","1540521140.062513","192.168.1.1","192.168.1.132","DNS","339","2018-10-26 02:32:20.062513"
"14212","1540521140.068508","2.16.60.139","192.168.1.132","TCP","66","2018-10-26 02:32:20.068508"
"14215","1540521140.074504","2.16.60.139","192.168.1.132","TCP","60","2018-10-26 02:32:20.074504"
"14218","1540521156.281522","216.239.35.0","192.168.1.132","NTP","90","2018-10-26 02:32:36.281522"
"14220","1540521158.647672","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 02:32:38.647672"
"14230","1540521188.727782","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 02:33:08.727782"
"14240","1540521218.807892","104.155.18.91","192.168.1.132","TCP","60","2018-10-26 02:33:38.807892"
